,Zones,Value,Occupancy Type,Unit
367,Zone 3,647.949980366,Working Hours,CO2 [ppm]
368,Zone 3,648.449459341,Working Hours,CO2 [ppm]
369,Zone 3,647.260223688,Working Hours,CO2 [ppm]
370,Zone 3,645.952064469,Working Hours,CO2 [ppm]
371,Zone 3,646.1899116,Working Hours,CO2 [ppm]
372,Zone 3,646.522897583,Working Hours,CO2 [ppm]
373,Zone 3,645.714217338,Working Hours,CO2 [ppm]
374,Zone 3,645.80935619,Working Hours,CO2 [ppm]
375,Zone 3,648.925153602,Working Hours,CO2 [ppm]
376,Zone 3,648.687306472,Working Hours,CO2 [ppm]
377,Zone 3,650.804145934,Working Hours,CO2 [ppm]
378,Zone 3,654.276714041,Working Hours,CO2 [ppm]
379,Zone 3,655.798935678,Working Hours,CO2 [ppm]
380,Zone 3,657.36872674,Working Hours,CO2 [ppm]
381,Zone 3,659.985045177,Working Hours,CO2 [ppm]
382,Zone 3,659.794767473,Working Hours,CO2 [ppm]
383,Zone 3,663.433828571,Working Hours,CO2 [ppm]
384,Zone 3,665.812299878,Working Hours,CO2 [ppm]
385,Zone 3,665.645806886,Working Hours,CO2 [ppm]
386,Zone 3,665.336605616,Working Hours,CO2 [ppm]
387,Zone 3,665.931223443,Working Hours,CO2 [ppm]
388,Zone 3,667.358306227,Working Hours,CO2 [ppm]
389,Zone 3,671.520631014,Working Hours,CO2 [ppm]
390,Zone 3,671.639554579,Working Hours,CO2 [ppm]
391,Zone 3,673.185560928,Working Hours,CO2 [ppm]
392,Zone 3,764.970768645,Working Hours,CO2 [ppm]
393,Zone 3,767.254101099,Working Hours,CO2 [ppm]
394,Zone 3,764.257227253,Working Hours,CO2 [ppm]
395,Zone 3,759.405145788,Working Hours,CO2 [ppm]
396,Zone 3,759.690562344,Working Hours,CO2 [ppm]
397,Zone 3,754.838480879,Working Hours,CO2 [ppm]
398,Zone 3,753.125981538,Working Hours,CO2 [ppm]
399,Zone 3,752.412440146,Working Hours,CO2 [ppm]
400,Zone 3,756.55098022,Working Hours,CO2 [ppm]
401,Zone 3,758.513219048,Working Hours,CO2 [ppm]
402,Zone 3,762.68743619,Working Hours,CO2 [ppm]
403,Zone 3,762.259311355,Working Hours,CO2 [ppm]
404,Zone 3,757.40722989,Working Hours,CO2 [ppm]
405,Zone 3,760.832228572,Working Hours,CO2 [ppm]
406,Zone 3,768.96660044,Working Hours,CO2 [ppm]
407,Zone 3,768.823892161,Working Hours,CO2 [ppm]
408,Zone 3,760.97493685,Working Hours,CO2 [ppm]
409,Zone 3,762.68743619,Working Hours,CO2 [ppm]
410,Zone 3,763.115561026,Working Hours,CO2 [ppm]
411,Zone 3,762.116603077,Working Hours,CO2 [ppm]
412,Zone 3,760.261395458,Working Hours,CO2 [ppm]
413,Zone 3,749.950722344,Working Hours,CO2 [ppm]
