,B10_Area3for2_A_Ahu1_DOAS_FanSuEh_MdltSu,B10_Area3for2_A_Ahu2_DOAS_FanSuEh_MdltSu,B10_Area3for2_A_Ahu3_DOAS_FanSuEh_MdltSu,B10_Area3for2_A_Ahu4_DOAS_FanSuEh_MdltSu
2016-12-31 10:40:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 10:45:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 10:50:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 10:55:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 11:00:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 11:05:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 11:10:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 11:15:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 11:20:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 11:25:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 11:30:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 11:35:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 11:40:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 11:45:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 11:50:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 11:55:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 12:00:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 12:05:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 12:10:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 12:15:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 12:20:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 12:25:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 12:30:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 12:35:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 12:40:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 12:45:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 12:50:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 12:55:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 13:00:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 13:05:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 13:10:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 13:15:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 13:20:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 13:25:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 13:30:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 13:35:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 13:40:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 13:45:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 13:50:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 13:55:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 14:00:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 14:05:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 14:10:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 14:15:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 14:20:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 14:25:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 14:30:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 14:35:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 14:40:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 14:45:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 14:50:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 14:55:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 15:00:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 15:05:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 15:10:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 15:15:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 15:20:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 15:25:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 15:30:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 15:35:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 15:40:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 15:45:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 15:50:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 15:55:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 16:00:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 16:05:00+08:00,0.0,0.0,0.0,0.0
2016-12-31 16:10:00+08:00,0.0,0.0,0.0,0.0
