,Zones,Value,Occupancy Type,Unit
453,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
452,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
451,Zone 1,54.8333333333,Working Hours,Rel. Humidity [%]
450,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
449,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
448,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
447,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
446,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
445,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
444,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
443,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
442,Zone 1,54.7777777778,Working Hours,Rel. Humidity [%]
441,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
440,Zone 1,54.8888888889,Working Hours,Rel. Humidity [%]
439,Zone 1,55.0,Working Hours,Rel. Humidity [%]
438,Zone 1,54.7777777778,Working Hours,Rel. Humidity [%]
437,Zone 1,55.0,Working Hours,Rel. Humidity [%]
458,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
460,Zone 1,54.5555555556,Working Hours,Rel. Humidity [%]
581,Zone 1,59.8888888889,Working Hours,Rel. Humidity [%]
461,Zone 1,54.3333333333,Working Hours,Rel. Humidity [%]
433,Zone 1,55.1666666667,Working Hours,Rel. Humidity [%]
556,Zone 1,61.0,Working Hours,Rel. Humidity [%]
408,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
406,Zone 1,56.5555555556,Working Hours,Rel. Humidity [%]
429,Zone 1,55.5,Working Hours,Rel. Humidity [%]
428,Zone 1,55.4444444444,Working Hours,Rel. Humidity [%]
427,Zone 1,55.6666666667,Working Hours,Rel. Humidity [%]
426,Zone 1,55.6666666667,Working Hours,Rel. Humidity [%]
425,Zone 1,55.1666666667,Working Hours,Rel. Humidity [%]
424,Zone 1,55.4444444444,Working Hours,Rel. Humidity [%]
422,Zone 1,55.5555555556,Working Hours,Rel. Humidity [%]
412,Zone 1,56.5555555556,Working Hours,Rel. Humidity [%]
421,Zone 1,55.6666666667,Working Hours,Rel. Humidity [%]
430,Zone 1,55.3333333333,Working Hours,Rel. Humidity [%]
420,Zone 1,55.5555555556,Working Hours,Rel. Humidity [%]
418,Zone 1,55.5555555556,Working Hours,Rel. Humidity [%]
417,Zone 1,55.6666666667,Working Hours,Rel. Humidity [%]
416,Zone 1,55.8888888889,Working Hours,Rel. Humidity [%]
415,Zone 1,56.1666666667,Working Hours,Rel. Humidity [%]
414,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
413,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
483,Zone 1,54.3333333333,Working Hours,Rel. Humidity [%]
484,Zone 1,54.3333333333,Working Hours,Rel. Humidity [%]
485,Zone 1,54.3333333333,Working Hours,Rel. Humidity [%]
419,Zone 1,55.6666666667,Working Hours,Rel. Humidity [%]
431,Zone 1,55.0,Working Hours,Rel. Humidity [%]
432,Zone 1,55.1111111111,Working Hours,Rel. Humidity [%]
423,Zone 1,55.3333333333,Working Hours,Rel. Humidity [%]
405,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
404,Zone 1,56.1111111111,Working Hours,Rel. Humidity [%]
403,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
402,Zone 1,56.2222222222,Working Hours,Rel. Humidity [%]
401,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
400,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
399,Zone 1,56.5,Working Hours,Rel. Humidity [%]
398,Zone 1,56.4444444444,Working Hours,Rel. Humidity [%]
397,Zone 1,56.8333333333,Working Hours,Rel. Humidity [%]
396,Zone 1,56.8888888889,Working Hours,Rel. Humidity [%]
395,Zone 1,57.0,Working Hours,Rel. Humidity [%]
394,Zone 1,57.3333333333,Working Hours,Rel. Humidity [%]
393,Zone 1,57.3333333333,Working Hours,Rel. Humidity [%]
392,Zone 1,57.2222222222,Working Hours,Rel. Humidity [%]
391,Zone 1,57.0,Working Hours,Rel. Humidity [%]
390,Zone 1,57.1111111111,Working Hours,Rel. Humidity [%]
389,Zone 1,57.0,Working Hours,Rel. Humidity [%]
388,Zone 1,53.8333333333,Working Hours,Rel. Humidity [%]
409,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
410,Zone 1,56.5555555556,Working Hours,Rel. Humidity [%]
411,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
407,Zone 1,56.8333333333,Working Hours,Rel. Humidity [%]
651,Zone 1,56.5,Working Hours,Rel. Humidity [%]
652,Zone 1,56.2222222222,Working Hours,Rel. Humidity [%]
653,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
192,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
382,Zone 1,54.0,Working Hours,Rel. Humidity [%]
380,Zone 1,54.0,Working Hours,Rel. Humidity [%]
379,Zone 1,54.0,Working Hours,Rel. Humidity [%]
378,Zone 1,54.1666666667,Working Hours,Rel. Humidity [%]
377,Zone 1,54.1111111111,Working Hours,Rel. Humidity [%]
376,Zone 1,54.0,Working Hours,Rel. Humidity [%]
375,Zone 1,54.1111111111,Working Hours,Rel. Humidity [%]
373,Zone 1,54.3333333333,Working Hours,Rel. Humidity [%]
383,Zone 1,53.8888888889,Working Hours,Rel. Humidity [%]
363,Zone 1,53.4444444444,Working Hours,Rel. Humidity [%]
371,Zone 1,54.3333333333,Working Hours,Rel. Humidity [%]
370,Zone 1,54.1666666667,Working Hours,Rel. Humidity [%]
369,Zone 1,53.8888888889,Working Hours,Rel. Humidity [%]
368,Zone 1,54.0,Working Hours,Rel. Humidity [%]
367,Zone 1,53.8888888889,Working Hours,Rel. Humidity [%]
366,Zone 1,53.8333333333,Working Hours,Rel. Humidity [%]
365,Zone 1,53.7777777778,Working Hours,Rel. Humidity [%]
364,Zone 1,53.6666666667,Working Hours,Rel. Humidity [%]
338,Zone 1,53.3333333333,Working Hours,Rel. Humidity [%]
372,Zone 1,54.3333333333,Working Hours,Rel. Humidity [%]
374,Zone 1,54.0,Working Hours,Rel. Humidity [%]
362,Zone 1,53.3333333333,Working Hours,Rel. Humidity [%]
361,Zone 1,53.3333333333,Working Hours,Rel. Humidity [%]
358,Zone 1,53.3333333333,Working Hours,Rel. Humidity [%]
357,Zone 1,53.3333333333,Working Hours,Rel. Humidity [%]
356,Zone 1,53.3333333333,Working Hours,Rel. Humidity [%]
355,Zone 1,53.3333333333,Working Hours,Rel. Humidity [%]
354,Zone 1,53.3333333333,Working Hours,Rel. Humidity [%]
353,Zone 1,53.3333333333,Working Hours,Rel. Humidity [%]
352,Zone 1,53.3333333333,Working Hours,Rel. Humidity [%]
351,Zone 1,53.3333333333,Working Hours,Rel. Humidity [%]
350,Zone 1,53.3333333333,Working Hours,Rel. Humidity [%]
349,Zone 1,53.3333333333,Working Hours,Rel. Humidity [%]
348,Zone 1,53.3333333333,Working Hours,Rel. Humidity [%]
347,Zone 1,53.3333333333,Working Hours,Rel. Humidity [%]
346,Zone 1,53.3333333333,Working Hours,Rel. Humidity [%]
